"Station Name","SAULT STE MARIE A"
"Province","ONTARIO"
"Latitude","46.49"
"Longitude","-84.51"
"Elevation","192.00"
"Climate Identifier","6057591"
"WMO Identifier","71260"
"TC Identifier","YAM"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only basic quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2013-01-01","2013","01","01","‡","-5.8","","-20.0","","-12.9","","30.9","","0.0","","","M","1.5","","0.2","","17","","24","","50",""
"2013-01-02","2013","01","02","‡","-6.2","","-10.1","","-8.2","","26.2","","0.0","","","M","0.9","","0.4","","15","","26","","41",""
"2013-01-03","2013","01","03","‡","-2.3","","-9.9","","-6.1","","24.1","","0.0","","","M","2.2","","2.4","","16","","32","","56",""
"2013-01-04","2013","01","04","‡","0.6","","-3.6","","-1.5","","19.5","","0.0","","","M","0.4","","0.2","","15","","31","","67",""
"2013-01-05","2013","01","05","‡","","","","","","","","","","","","","","","","","","","","","",""
"2013-01-06","2013","01","06","‡","-2.5","","-7.7","","-5.1","","23.1","","0.0","","","M","0.4","","0.2","","10","","6","","32",""
"2013-01-07","2013","01","07","‡","3.9","","-8.5","","-2.3","","20.3","","0.0","","0.0","","0.0","","0.0","","10","","21","","61",""
"2013-01-08","2013","01","08","‡","4.6","","-2.0","","1.3","","16.7","","0.0","","0.0","","0.0","","0.0","","10","","","","<31",""
"2013-01-09","2013","01","09","‡","","","","","","","","","","","","","","","","","","","","","",""
"2013-01-10","2013","01","10","‡","","","","","","","","","","","","","","","","","","","","","",""
"2013-01-11","2013","01","11","‡","4.0","","1.0","","2.5","","15.5","","0.0","","7.0","","0.0","","7.0","","7","","11","","46",""
"2013-01-12","2013","01","12","‡","8.6","","0.1","","4.4","","13.6","","0.0","","0.2","","0.0","","0.2","","4","","23","","69",""
"2013-01-13","2013","01","13","‡","0.1","","-3.9","","-1.9","","19.9","","0.0","","0.0","","2.6","","2.1","","4","","29","","46",""
"2013-01-14","2013","01","14","‡","-3.6","","-7.5","","-5.6","","23.6","","0.0","","0.0","","1.7","","1.3","","7","","26","","52",""
"2013-01-15","2013","01","15","‡","-2.2","","-10.5","","-6.4","","24.4","","0.0","","0.0","","0.0","","0.0","","5","","22","","48",""
"2013-01-16","2013","01","16","‡","-1.1","E","-10.2","E","-5.7","E","23.7","E","0.0","E","","M","","M","1.7","E","3","","","M","","M"
"2013-01-17","2013","01","17","‡","-10.1","","-20.1","","-15.1","","33.1","","0.0","","0.0","","5.3","","5.2","","5","","26","","65",""
"2013-01-18","2013","01","18","‡","-6.1","","-13.2","","-9.7","","27.7","","0.0","","0.0","","10.5","","11.2","","7","","24","","46",""
"2013-01-19","2013","01","19","‡","-0.9","","-8.1","","-4.5","","22.5","","0.0","","","M","12.1","","10.5","","16","","27","","70",""
"2013-01-20","2013","01","20","‡","","","","","","","","","","","","","","","","","","","","","",""
"2013-01-21","2013","01","21","‡","","","","","","","","","","","","","","","","","","","","","",""
"2013-01-22","2013","01","22","‡","-20.2","","-28.4","","-24.3","","42.3","","0.0","","","M","1.3","","0.7","","24","","","","<31",""
"2013-01-23","2013","01","23","‡","","","","","","","","","","","","","","","","","","","","","",""
"2013-01-24","2013","01","24","‡","-14.1","","-29.8","","-22.0","","40.0","","0.0","","0.0","T","0.0","","0.0","T","22","","","","<31",""
"2013-01-25","2013","01","25","‡","","","","","","","","","","","","","","","","","","","","","",""
"2013-01-26","2013","01","26","‡","-5.8","","-20.6","","-13.2","","31.2","","0.0","","0.0","","0.6","","0.4","","23","","","","<31",""
"2013-01-27","2013","01","27","‡","-2.7","","-11.1","","-6.9","","24.9","","0.0","","0.4","","1.1","","1.5","","23","","","","<31",""
"2013-01-28","2013","01","28","‡","0.4","","-2.9","","-1.3","","19.3","","0.0","","0.0","","9.1","","8.9","","27","","","","<31",""
"2013-01-29","2013","01","29","‡","1.4","","-3.9","","-1.3","","19.3","","0.0","","2.4","","0.0","T","2.4","","30","","9","","41",""
"2013-01-30","2013","01","30","‡","2.4","","-14.2","","-5.9","","23.9","","0.0","","8.5","","10.5","","18.3","","26","","","","<31",""
"2013-01-31","2013","01","31","‡","-11.6","","-18.0","","-14.8","","32.8","","0.0","","0.0","","2.7","","2.5","","33","","","","<31",""
