"Station Name","SAULT STE MARIE A"
"Province","ONTARIO"
"Latitude","46.49"
"Longitude","-84.51"
"Elevation","192.00"
"Climate Identifier","6057591"
"WMO Identifier","71260"
"TC Identifier","YAM"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only basic quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2014-01-01","2014","01","01","‡","-15.9","","-27.8","","-21.9","","39.9","","0.0","","0.0","","5.0","","1.2","","32","","","","<31",""
"2014-01-02","2014","01","02","‡","-18.4","","-31.8","","-25.1","","43.1","","0.0","","0.0","","0.2","","0.2","","32","","","","<31",""
"2014-01-03","2014","01","03","‡","-9.6","","-31.4","","-20.5","","38.5","","0.0","","0.0","","0.4","","0.4","","32","","14","","48",""
"2014-01-04","2014","01","04","‡","-2.6","","-9.7","","-6.2","","24.2","","0.0","","0.0","","12.0","","7.1","","35","","28","","54",""
"2014-01-05","2014","01","05","‡","-6.8","","-13.8","","-10.3","","28.3","","0.0","","0.0","","1.4","","0.6","","36","","35","","43",""
"2014-01-06","2014","01","06","‡","-13.8","","-20.7","","-17.3","","35.3","","0.0","","","M","10.6","","6.4","","36","","25","","50",""
"2014-01-07","2014","01","07","‡","-14.9","","-21.7","","-18.3","","36.3","","0.0","","3.8","","7.4","","8.4","","41","","25","","56",""
"2014-01-08","2014","01","08","‡","-9.0","","-19.5","","-14.3","","32.3","","0.0","","0.0","","0.4","","0.4","","31","","24","","43",""
"2014-01-09","2014","01","09","‡","-6.7","","-21.6","","-14.2","","32.2","","0.0","","0.0","","0.4","","0.4","","29","","","","<31",""
"2014-01-10","2014","01","10","‡","-0.3","","-8.5","","-4.4","","22.4","","0.0","","5.3","","0.0","","5.3","","28","","","","<31",""
"2014-01-11","2014","01","11","‡","1.1","","-0.3","","0.4","","17.6","","0.0","","1.0","","3.2","","3.6","","34","","31","","50",""
"2014-01-12","2014","01","12","‡","0.6","","-2.1","","-0.8","","18.8","","0.0","","0.0","","1.2","","0.6","","33","","30","","39",""
"2014-01-13","2014","01","13","‡","2.8","","-2.4","","0.2","","17.8","","0.0","","0.3","","0.3","","0.6","","33","","29","","50",""
"2014-01-14","2014","01","14","‡","-2.3","","-7.1","","-4.7","","22.7","","0.0","","0.0","","5.6","","3.8","","29","","3","","35",""
