"Station Name","SAULT STE MARIE A"
"Province","ONTARIO"
"Latitude","46.49"
"Longitude","-84.51"
"Elevation","192.00"
"Climate Identifier","6057591"
"WMO Identifier","71260"
"TC Identifier","YAM"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only basic quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2015-01-01","2015","01","01","‡","-5.1","","-11.4","","-8.3","","26.3","","0.0","","0.0","","11.0","","5.2","","28","","29","","67",""
"2015-01-02","2015","01","02","‡","-6.8","","-17.7","","-12.3","","30.3","","0.0","","0.0","","1.2","","0.6","","35","","25","","39",""
"2015-01-03","2015","01","03","‡","-0.8","","-7.1","","-4.0","","22.0","","0.0","","0.0","","3.7","","2.6","","5","","","","<31",""
"2015-01-04","2015","01","04","‡","-1.8","","-17.9","","-9.9","","27.9","","0.0","","0.0","","9.9","","6.6","","6","","33","","56",""
"2015-01-05","2015","01","05","‡","-13.4","","-20.9","","-17.2","","35.2","","0.0","","0.0","","8.1","","6.9","","11","","24","","57",""
"2015-01-06","2015","01","06","‡","-9.9","","-19.2","","-14.6","","32.6","","0.0","","","M","4.0","","","M","10","","25","","54",""
"2015-01-07","2015","01","07","‡","-11.6","","-25.8","","-18.7","","36.7","","0.0","","0.0","","5.4","","3.1","","9","","31","","57",""
"2015-01-08","2015","01","08","‡","-9.6","","-16.7","","-13.2","","31.2","","0.0","","0.0","","3.5","","1.8","","8","","25","","48",""
"2015-01-09","2015","01","09","‡","-11.5","","-17.0","","-14.3","","32.3","","0.0","","0.0","","15.0","","9.2","","8","","23","","61",""
"2015-01-10","2015","01","10","‡","-11.1","","-22.3","","-16.7","","34.7","","0.0","","0.0","T","0.0","","0.0","T","8","","23","","41",""
"2015-01-11","2015","01","11","‡","-7.1","","-20.1","","-13.6","","31.6","","0.0","","0.0","","3.1","","2.1","","7","","","","<31",""
"2015-01-12","2015","01","12","‡","-6.6","","-24.4","","-15.5","","33.5","","0.0","","0.0","","0.8","","0.4","","8","","33","","46",""
"2015-01-13","2015","01","13","‡","-9.0","","-20.7","","-14.9","","32.9","","0.0","","0.0","","0.2","","0.2","","7","","","","<31",""
